sampledate,depth,wtemp,o2
6/4/81,0,18.6,9.3
6/4/81,1,17.9,9
6/4/81,2,17.4,9
6/4/81,3,17.3,9
6/4/81,4,17,9
6/4/81,5,16.8,9
6/4/81,6,14.3,10.6
6/4/81,7,11.9,11.6
6/4/81,8,11.1,11.7
6/4/81,9,10.4,11.4
6/4/81,10,9.8,10.9
6/4/81,11,9.4,10.1
6/4/81,12,9,9.2
6/4/81,13,8.9,8.3
6/4/81,14,8.7,7.6
6/4/81,15,8.6,7.1
6/4/81,16,8.6,6.4
6/4/81,17,8.5,5.9
6/4/81,18,8.5,5.4
6/30/81,0,20.8,7.6
6/30/81,2,20.1,7.8
6/30/81,3,19.9,7.8
6/30/81,4,19.8,7.8
6/30/81,5,19.7,7.9
6/30/81,6,19.3,7.9
6/30/81,7,19,7.8
6/30/81,8,17.3,8.1
6/30/81,9,13.3,8.9
6/30/81,10,11.7,8.9
6/30/81,11,10.3,8.3
6/30/81,12,9.8,7.7
6/30/81,13,9.6,6.9
6/30/81,14,9,5.8
6/30/81,15,8.9,5
6/30/81,16,8.7,4
6/30/81,17,8.7,3.3
6/30/81,18,8.6,2.6
6/30/81,19,8.6,2
7/28/81,0,22.3,9.4
7/28/81,1,22.2,9.4
7/28/81,2,21.8,9.5
7/28/81,3,21.7,9.5
7/28/81,4,21.6,9.4
7/28/81,5,21.6,9.5
7/28/81,6,21.5,9.5
7/28/81,7,21.4,9.4
7/28/81,8,17.7,11.1
7/28/81,9,15.3,11.6
7/28/81,10,12.6,10.7
7/28/81,11,11.2,8.9
7/28/81,12,10.4,6.9
7/28/81,13,9.6,4.4
7/28/81,14,9.4,3.1
7/28/81,15,9.2,1.8
7/28/81,16,9,1.8
7/28/81,17,8.9,1.8
7/28/81,18,8.8,1.8
7/28/81,19,8.8,1.8
7/28/81,20,8.7,1.8
8/26/81,0,22.1,9.2
8/26/81,1,22.1,9.2
8/26/81,2,22,9.2
8/26/81,3,22,9.2
8/26/81,4,22,9.2
8/26/81,5,22,9.3
8/26/81,6,21.9,9.3
8/26/81,7,21.7,9.3
8/26/81,8,21.3,9.5
8/26/81,9,17,10.6
8/26/81,10,14.2,7.9
8/26/81,11,12.1,5.8
8/26/81,12,11.9,3.1
8/26/81,13,10.2,1
8/26/81,14,9.5,0.1
8/26/81,15,9.3,0.1
8/26/81,16,9.1,0.1
8/26/81,17,9,0.1
8/26/81,18,8.9,0.1
8/26/81,19,8.9,0.1
8/26/81,20,8.8,0.1
10/20/81,0,9.8,10
10/20/81,1,9.9,10
10/20/81,2,9.8,10
10/20/81,3,9.8,9.9
10/20/81,4,9.8,9.9
10/20/81,5,9.8,9.9
10/20/81,6,9.8,9.9
10/20/81,7,9.8,9.9
10/20/81,8,9.8,9.9
10/20/81,9,9.8,9.9
10/20/81,10,9.7,10
10/20/81,11,9.6,10
10/20/81,12,9.4,10.2
10/20/81,13,9.4,10.2
10/20/81,14,9.4,10.2
10/20/81,15,9.4,10.2
10/20/81,16,9.2,10.2
10/20/81,17,9.2,10.2
10/20/81,18,9.1,10.4
10/20/81,19,9.1,10.4
10/20/81,20,9,10.3
11/30/81,0,2.6,
11/30/81,1,2.6,14.6
11/30/81,2,2.6,13
11/30/81,3,2.6,12.8
11/30/81,4,2.6,12.8
11/30/81,5,2.6,12.8
11/30/81,6,2.6,12.8
11/30/81,7,2.6,12.8
11/30/81,8,2.6,12.8
11/30/81,9,2.6,12.9
11/30/81,10,2.6,13
11/30/81,11,2.6,13.2
11/30/81,12,2.6,13.3
11/30/81,13,2.6,13.5
11/30/81,14,2.6,13.5
11/30/81,15,2.6,13.7
11/30/81,16,2.6,13.8
11/30/81,17,2.7,13.8
11/30/81,18,2.7,13.8
11/30/81,19,2.7,13.9
11/30/81,20,3.1,
1/25/82,0,0,
1/25/82,1,1,12.9
1/25/82,2,1.5,11.8
1/25/82,3,1.6,11.9
1/25/82,4,1.7,12
1/25/82,5,1.9,12.1
1/25/82,6,1.9,12.1
1/25/82,7,2,12
1/25/82,8,2.1,11.6
1/25/82,9,2.2,11.3
1/25/82,10,2.3,11.5
1/25/82,11,2.4,10.9
1/25/82,12,2.5,11.1
1/25/82,13,2.5,10.5
1/25/82,14,2.7,9.2
1/25/82,15,2.8,8.1
1/25/82,16,3,4.5
1/25/82,17,3.2,1.9
1/25/82,18,3.3,1
1/25/82,18.5,,
1/25/82,19,3.5,0.9
2/25/82,0,0,
2/25/82,1,0.7,10
2/25/82,2,1.6,9.1
2/25/82,3,1.9,8.4
2/25/82,4,2,8.3
2/25/82,5,2.1,8
2/25/82,6,2.2,7.5
2/25/82,7,2.2,7.4
2/25/82,8,2.4,7
2/25/82,9,2.5,6.9
2/25/82,10,2.6,6.6
2/25/82,11,2.7,6.4
2/25/82,12,2.8,6.1
2/25/82,13,2.9,5.2
2/25/82,14,3,5.1
2/25/82,15,3.1,4.7
2/25/82,16,3.3,2.3
2/25/82,17,3.6,0.7
2/25/82,18,3.7,0.7
2/25/82,18.5,,
2/25/82,19,4,
4/7/82,0,0,14.4
4/7/82,1,0.9,11.6
4/7/82,2,2,10.4
4/7/82,3,2.3,9.5
4/7/82,4,2.4,9
4/7/82,5,2.5,8.4
4/7/82,6,2.5,7.5
4/7/82,7,2.6,7.1
4/7/82,8,2.7,6.8
4/7/82,9,2.8,6.1
4/7/82,10,2.9,6.4
4/7/82,11,3,6.8
4/7/82,12,3.1,5.2
4/7/82,13,3.2,5.8
4/7/82,14,3.4,4
4/7/82,15,3.5,3.9
4/7/82,16,3.6,0.8
4/7/82,17,3.8,0.1
4/7/82,18,3.9,0.1
4/7/82,19,4.1,0
5/11/82,0,7.8,9.5
5/11/82,1,7.8,9.5
5/11/82,2,7.7,9.5
5/11/82,3,7.7,9.4
5/11/82,4,7.7,9.4
5/11/82,5,7.7,9.4
5/11/82,6,7.7,9.4
5/11/82,7,7.7,9.4
5/11/82,8,7.7,9.5
5/11/82,9,7.7,9.5
5/11/82,10,7.7,9.6
5/11/82,11,7.7,9.8
