"lakeid","year4","CVHT"
"AL",1981,0
"AL",1982,12
"AL",1983,7
"AL",1984,7
"AL",1985,8
"AL",1986,14
"AL",1987,8
"AL",1988,14
"AL",1989,3
"AL",1990,7
"AL",1991,7
"AL",1992,19
"AL",1993,7
"AL",1994,0
"AL",1995,6
"AL",1996,5
"AL",1997,8
"AL",1998,0
"AL",1999,7
"AL",2000,4
"AL",2001,1
"AL",2002,7
"AL",2003,6
"AL",2004,7
"AL",2005,0
"AL",2006,7
"AL",2007,7
"AL",2008,0
"AL",2009,7
"AL",2010,14
"AL",2011,7
"AL",2012,7
"AL",2013,0
"AL",2014,7
"AL",2015,0
"AL",2016,0
"AL",2017,1
"AL",2018,0
"AL",2019,7
"AL",2020,6
"AL",2021,0
"AL",2022,0
"AL",2023,4
"AL",2024,0
"BM",1981,6
"BM",1982,23
"BM",1983,43
"BM",1984,17
"BM",1985,2
"BM",1986,31
"BM",1987,20
"BM",1988,42
"BM",1989,32
"BM",1990,21
"BM",1991,48
"BM",1992,53
"BM",1993,28
"BM",1994,16
"BM",1995,33
"BM",1996,23
"BM",1997,32
"BM",1998,17
"BM",1999,27
"BM",2000,11
"BM",2001,14
"BM",2002,31
"BM",2003,25
"BM",2004,13
"BM",2005,20
"BM",2006,14
"BM",2007,19
"BM",2008,18
"BM",2009,8
"BM",2010,35
"BM",2011,15
"BM",2012,5
"BM",2013,37
"BM",2014,37
"BM",2015,16
"BM",2016,24
"BM",2017,24
"BM",2018,39
"BM",2019,35
"BM",2020,16
"BM",2021,8
"BM",2022,12
"BM",2023,35
"BM",2024,8
"CR",1981,33
"CR",1982,62
"CR",1983,70
"CR",1984,56
"CR",1985,45
"CR",1986,80
"CR",1987,56
"CR",1988,87
"CR",1989,72
"CR",1990,57
"CR",1991,76
"CR",1992,79
"CR",1993,69
"CR",1994,50
"CR",1995,71
"CR",1996,74
"CR",1997,72
"CR",1998,56
"CR",1999,64
"CR",2000,67
"CR",2001,57
"CR",2002,79
"CR",2003,46
"CR",2004,62
"CR",2005,47
"CR",2006,46
"CR",2007,63
"CR",2008,62
"CR",2009,57
"CR",2010,72
"CR",2011,108
"CR",2012,10
"CR",2013,40
"CR",2014,66
"CR",2015,45
"CR",2016,58
"CR",2017,41
"CR",2018,43
"CR",2019,61
"CR",2020,22
"CR",2021,14
"CR",2022,33
"CR",2023,37
"CR",2024,36
"SP",1981,15
"SP",1982,35
"SP",1983,50
"SP",1984,47
"SP",1985,47
"SP",1986,35
"SP",1987,44
"SP",1988,62
"SP",1989,49
"SP",1990,44
"SP",1991,50
"SP",1992,47
"SP",1993,41
"SP",1994,31
"SP",1995,47
"SP",1996,66
"SP",1997,62
"SP",1998,30
"SP",1999,54
"SP",2000,34
"SP",2001,40
"SP",2002,57
"SP",2003,32
"SP",2004,46
"SP",2005,36
"SP",2006,39
"SP",2007,50
"SP",2008,35
"SP",2009,33
"SP",2010,37
"SP",2011,35
"SP",2012,21
"SP",2013,43
"SP",2014,54
"SP",2015,35
"SP",2016,58
"SP",2017,48
"SP",2018,45
"SP",2019,52
"SP",2020,25
"SP",2021,14
"SP",2022,38
"SP",2023,47
"SP",2024,39
"TR",1981,62
"TR",1982,116
"TR",1983,126
"TR",1984,117
"TR",1985,99
"TR",1986,126
"TR",1987,113
"TR",1988,157
"TR",1989,123
"TR",1990,106
"TR",1991,152
"TR",1992,165
"TR",1993,117
"TR",1994,110
"TR",1995,121
"TR",1996,163
"TR",1997,138
"TR",1998,109
"TR",1999,120
"TR",2000,110
"TR",2001,98
"TR",2002,152
"TR",2003,127
"TR",2004,127
"TR",2005,130
"TR",2006,115
"TR",2007,124
"TR",2008,119
"TR",2009,117
"TR",2010,110
"TR",2011,122
"TR",2012,91
"TR",2013,126
"TR",2014,163
"TR",2015,121
"TR",2016,142
"TR",2017,128
"TR",2018,129
"TR",2019,158
"TR",2020,71
"TR",2021,76
"TR",2022,125
"TR",2023,130
"TR",2024,93
