"air_temp","ice_on_duration","water_temp","lake_level","phosphorus","nitrogen","MEI","Nino4","ONI","SSTcorr1","SSTcorr2","chlorophyll","zonalwind500","geoheight500","geoheight850","CVHT","surfacezonalwind","surfacemomentumflux"
4.6,146,11.588,500.73,4.61,20.74,-0.7,28.235,-0.37,28.405,22.307,7.2,17.011,5516.613,1431.361,27,0.762,-44.613
3.49673913043478,144,12.15,500.676666666667,4.61,82,0.6,29.13,0.47,29.361,22.565,12.775,10.842,5546.578,1454.317,28,0.262,-20.681
2.93913043478261,148,9.9,501.18,4.61,46.6666666666667,2,28.875,1.29,28.69,22.019,1.4,8.651,5598.84,1468.736,46,0.168,-15.68
2.90869565217391,141,10.85,500.777,12,74.75,-0.7,27.94,-0.43,28.061,21.955,2.6,11.138,5588.837,1459.931,22,1.242,-89.082
5.82173913043478,154,12.3666666666667,500.8078,8,40.2,-0.7,27.705,-0.78,28.115,22.382,2.74,14.206,5571.513,1447.445,8,0.985,-84.256
5.68532608695652,147,12.5,500.7,8.5,10.5,0,28.43,-0.2,28.617,21.873,2.025,11.855,5539.302,1459.278,26,0.531,-37.22
6.33369565217391,145,13.2,500.40875,9,2,2.1,28.9,0.95,28.961,22.353,1.12,10.465,5584.29,1463.822,16,0.715,-51.746
4.87771739130435,136,14.15,500.231,2.5,3,-1.2,28.285,-0.31,28.296,22.592,1.175,6.779,5683.185,1492.782,46,0.326,-34.19
2.32391304347826,149,10.3666666666667,500.2074,3.66666666666667,18.6666666666667,-1,27.87,-0.83,27.968,22.133,2.1,9.355,5605.424,1480.196,34,0.486,-28.207
4.06521739130435,150,12.6666666666667,499.8952,4,1.66666666666667,0.1,28.8,0.29,28.642,22.084,1.86,14.272,5575.913,1448.777,26,0.782,-57.722
5.47663043478261,139,11.75,500.1145,6,34.5,1,29.175,0.26,29.12,23.067,2.85,9.306,5648.246,1496.318,42,-0.048,-11.739
