lakeid,year4,CVHT_standardized,n_months_sampled
AL,1981,0,2
AL,1982,6,3
AL,1983,3.5,3
AL,1984,3.5,3
AL,1985,7.5,3
AL,1986,7,3
AL,1987,4,3
AL,1988,9.333333333333332,3
AL,1989,1.5,3
AL,1990,3.5,3
AL,1991,3.5,3
AL,1992,8.666666666666666,3
AL,1993,3.5,3
AL,1994,0,3
AL,1995,3,3
AL,1996,2.5,3
AL,1997,3.8333333333333335,3
AL,1998,0,3
AL,1999,3.5,3
AL,2000,2,3
AL,2001,0.5,3
AL,2002,3.5,3
AL,2003,3.6666666666666665,3
AL,2004,2.333333333333333,3
AL,2005,6,3
AL,2006,3.5,3
AL,2007,10.5,3
AL,2008,15,3
AL,2009,12.666666666666666,3
AL,2010,7,3
AL,2011,3.5,3
AL,2012,3.5,3
AL,2013,0,3
AL,2014,3.5,3
AL,2015,0,3
AL,2016,0,3
AL,2017,0.5,3
AL,2018,0,3
AL,2019,3.5,3
AL,2020,6,3
AL,2021,0,3
AL,2022,0,3
AL,2023,2,3
AL,2024,0,3
BM,1981,6,2
BM,1982,13,3
BM,1983,21.5,3
BM,1984,9.5,3
BM,1985,1,3
BM,1986,14.5,3
BM,1987,10,3
BM,1988,20.166666666666664,3
BM,1989,16,3
BM,1990,10.5,3
BM,1991,19.5,3
BM,1992,22.666666666666668,3
BM,1993,14,3
BM,1994,8,3
BM,1995,16.5,3
BM,1996,11.5,3
BM,1997,16,3
BM,1998,8.5,3
BM,1999,13.5,3
BM,2000,5.5,3
BM,2001,7,3
BM,2002,11.5,3
BM,2003,12.5,3
BM,2004,6,3
BM,2005,10,3
BM,2006,7,3
BM,2007,9.5,3
BM,2008,6.333333333333333,3
BM,2009,4,3
BM,2010,17.333333333333332,3
BM,2011,5.666666666666666,3
BM,2012,2.5,3
BM,2013,15.833333333333332,3
BM,2014,18.5,3
BM,2015,8,3
BM,2016,10.5,3
BM,2017,12,3
BM,2018,19.5,3
BM,2019,13.5,3
BM,2020,16,3
BM,2021,8,3
BM,2022,6,3
BM,2023,17.5,3
BM,2024,4,3
CR,1981,21,2
CR,1982,36.5,3
CR,1983,35,3
CR,1984,33,3
CR,1985,25.5,3
CR,1986,34.833333333333336,3
CR,1987,22.833333333333336,3
CR,1988,38.166666666666664,3
CR,1989,36,3
CR,1990,28.5,3
CR,1991,33.166666666666664,3
CR,1992,32.166666666666664,3
CR,1993,34.5,3
CR,1994,25,3
CR,1995,35.5,3
CR,1996,37,3
CR,1997,34.666666666666664,3
CR,1998,22.666666666666664,3
CR,1999,32,3
CR,2000,33.5,3
CR,2001,28.5,3
CR,2002,34.166666666666664,3
CR,2003,23,3
CR,2004,31,3
CR,2005,23.5,3
CR,2006,23,3
CR,2007,27.166666666666664,3
CR,2008,25.166666666666664,3
CR,2009,24.666666666666668,3
CR,2010,22.25,3
CR,2011,33,3
CR,2012,37,3
CR,2013,44,3
CR,2014,27.666666666666664,3
CR,2015,17.666666666666664,3
CR,2016,24.666666666666664,3
CR,2017,20.5,3
CR,2018,21.5,3
CR,2019,26,3
CR,2020,22,3
CR,2021,14,3
CR,2022,17.333333333333332,3
CR,2023,18.5,3
CR,2024,18,3
SP,1981,15,2
SP,1982,25,3
SP,1983,25,3
SP,1984,22,3
SP,1985,23.5,3
SP,1986,17.5,3
SP,1987,22,3
SP,1988,27.666666666666668,3
SP,1989,24.5,3
SP,1990,22,3
SP,1991,21.333333333333332,3
SP,1992,23.5,3
SP,1993,20.5,3
SP,1994,15.5,3
SP,1995,23.5,3
SP,1996,27.333333333333336,3
SP,1997,26,3
SP,1998,15,3
SP,1999,23,3
SP,2000,17,3
SP,2001,20,3
SP,2002,23.833333333333336,3
SP,2003,16,3
SP,2004,19.833333333333332,3
SP,2005,18,3
SP,2006,19.5,3
SP,2007,18,3
SP,2008,14.5,3
SP,2009,16.5,3
SP,2010,15.5,3
SP,2011,17.5,3
SP,2012,10.5,3
SP,2013,21.5,3
SP,2014,23.166666666666668,3
SP,2015,17.5,3
SP,2016,25.5,3
SP,2017,24,3
SP,2018,22.5,3
SP,2019,21.833333333333336,3
SP,2020,25,3
SP,2021,14,3
SP,2022,19,3
SP,2023,23.5,3
SP,2024,19.5,3
TR,1981,39.5,2
TR,1982,67.5,3
TR,1983,63,3
TR,1984,58.5,3
TR,1985,56.5,3
TR,1986,63,3
TR,1987,56.5,3
TR,1988,68.66666666666667,3
TR,1989,61.5,3
TR,1990,53,3
TR,1991,64.66666666666667,3
TR,1992,69.66666666666667,3
TR,1993,58.5,3
TR,1994,55,3
TR,1995,60.5,3
TR,1996,69.16666666666667,3
TR,1997,67.5,3
TR,1998,44.83333333333333,3
TR,1999,60,3
TR,2000,55,3
TR,2001,49,3
TR,2002,64.5,3
TR,2003,55.5,3
TR,2004,56.333333333333336,3
TR,2005,53.83333333333333,3
TR,2006,57.5,3
TR,2007,52.33333333333333,3
TR,2008,49.16666666666667,3
TR,2009,50.666666666666664,3
TR,2010,47.833333333333336,3
TR,2011,61,3
TR,2012,45.5,3
TR,2013,63,3
TR,2014,70.33333333333333,3
TR,2015,50,3
TR,2016,61.33333333333333,3
TR,2017,64,3
TR,2018,64.5,3
TR,2019,68.5,3
TR,2020,71,3
TR,2021,53,3
TR,2022,51.33333333333333,3
TR,2023,65,3
TR,2024,46.5,3
