"lakeid","year4","CVHT_standardized","count"
"AL",1981,0,6
"AL",1982,11.5,6
"AL",1983,7,6
"AL",1984,7,6
"AL",1985,14,6
"AL",1986,14,6
"AL",1987,8,6
"AL",1988,17.5,6
"AL",1989,2,6
"AL",1990,7,6
"AL",1991,7,6
"AL",1992,16.5,6
"AL",1993,7,6
"AL",1994,0,6
"AL",1995,6,6
"AL",1996,5,6
"AL",1997,7.5,6
"AL",1998,0,6
"AL",1999,7,6
"AL",2000,1,6
"AL",2001,1,6
"AL",2002,7,6
"AL",2003,5.5,6
"AL",2004,7,6
"AL",2005,12,6
"AL",2006,7,6
"AL",2007,21,6
"AL",2008,30,6
"AL",2009,26.5,6
"AL",2010,16.5,6
"AL",2011,7,6
"AL",2012,7,6
"AL",2013,0,6
"AL",2014,7,6
"AL",2015,0,6
"AL",2016,0,6
"AL",2017,1,6
"AL",2018,0,6
"AL",2019,7,6
"AL",2020,13,6
"AL",2021,2,6
"AL",2022,0,6
"AL",2023,4,6
"AL",2024,0,6
"BM",1981,22.7171314741036,6
"BM",1982,23.5,6
"BM",1983,43,6
"BM",1984,18.75,6
"BM",1985,3.5,6
"BM",1986,18.5,6
"BM",1987,9,6
"BM",1988,35.5,6
"BM",1989,31,6
"BM",1990,20,6
"BM",1991,37,6
"BM",1992,42.5,6
"BM",1993,28,6
"BM",1994,18,6
"BM",1995,33,6
"BM",1996,23,6
"BM",1997,32,6
"BM",1998,18,6
"BM",1999,29,6
"BM",2000,11,6
"BM",2001,13,6
"BM",2002,21,6
"BM",2003,27,6
"BM",2004,11.5,6
"BM",2005,21,6
"BM",2006,12,6
"BM",2007,18,6
"BM",2008,15.5,6
"BM",2009,7,6
"BM",2010,22,6
"BM",2011,10.5,6
"BM",2012,5,6
"BM",2013,26,6
"BM",2014,38,6
"BM",2015,15,6
"BM",2016,23.5,6
"BM",2017,22,6
"BM",2018,40,6
"BM",2019,27,6
"BM",2020,28.8333333333333,6
"BM",2021,18.6666666666667,6
"BM",2022,13,6
"BM",2023,33,6
"BM",2024,8,6
"CR",1981,63,6
"CR",1982,72,6
"CR",1983,70,6
"CR",1984,65,6
"CR",1985,54.5,6
"CR",1986,57.5,6
"CR",1987,46.5,6
"CR",1988,76,6
"CR",1989,72,6
"CR",1990,56,6
"CR",1991,65.5,6
"CR",1992,62,6
"CR",1993,70,6
"CR",1994,51,6
"CR",1995,71,6
"CR",1996,74,6
"CR",1997,62,6
"CR",1998,44.5,6
"CR",1999,65,6
"CR",2000,67,6
"CR",2001,57,6
"CR",2002,67.5,6
"CR",2003,47,6
"CR",2004,64.25,6
"CR",2005,47,6
"CR",2006,46,6
"CR",2007,51,6
"CR",2008,50.5,6
"CR",2009,48,6
"CR",2010,41.5,6
"CR",2011,66,6
"CR",2012,83,6
"CR",2013,89,6
"CR",2014,57,6
"CR",2015,35.5,6
"CR",2016,49,6
"CR",2017,42,6
"CR",2018,45,6
"CR",2019,54,6
"CR",2020,41.8333333333333,6
"CR",2021,29.1666666666667,6
"CR",2022,33.5,6
"CR",2023,37,6
"CR",2024,36,6
"SP",1981,42.7795484727756,6
"SP",1982,47.5,6
"SP",1983,49,6
"SP",1984,45.75,6
"SP",1985,47,6
"SP",1986,34,6
"SP",1987,43,6
"SP",1988,51,6
"SP",1989,49,6
"SP",1990,33,6
"SP",1991,42.5,6
"SP",1992,47,6
"SP",1993,42,6
"SP",1994,32,6
"SP",1995,37,6
"SP",1996,52.5,6
"SP",1997,53,6
"SP",1998,29,6
"SP",1999,46.5,6
"SP",2000,34,6
"SP",2001,40,6
"SP",2002,48.5,6
"SP",2003,32,6
"SP",2004,40,6
"SP",2005,35,6
"SP",2006,38,6
"SP",2007,34.6666666666667,6
"SP",2008,28.5,6
"SP",2009,33,6
"SP",2010,34,6
"SP",2011,33,6
"SP",2012,22,6
"SP",2013,43,6
"SP",2014,46.5,6
"SP",2015,34,6
"SP",2016,51.5,6
"SP",2017,48,6
"SP",2018,45,6
"SP",2019,42,6
"SP",2020,50.8333333333333,6
"SP",2021,29.1666666666667,6
"SP",2022,39,6
"SP",2023,45,6
"SP",2024,38,6
"TR",1981,124.5,6
"TR",1982,143,6
"TR",1983,128.5,6
"TR",1984,116.75,6
"TR",1985,118.5,6
"TR",1986,126,6
"TR",1987,114,6
"TR",1988,139,6
"TR",1989,123,6
"TR",1990,107,6
"TR",1991,132,6
"TR",1992,144,6
"TR",1993,117,6
"TR",1994,107,6
"TR",1995,123,6
"TR",1996,135,6
"TR",1997,136.75,6
"TR",1998,92.5,6
"TR",1999,121,6
"TR",2000,105,6
"TR",2001,98,6
"TR",2002,129.5,6
"TR",2003,113.5,6
"TR",2004,114,6
"TR",2005,108.5,6
"TR",2006,118,6
"TR",2007,107,6
"TR",2008,99.5,6
"TR",2009,104.5,6
"TR",2010,101,6
"TR",2011,122,6
"TR",2012,92,6
"TR",2013,127,6
"TR",2014,144,6
"TR",2015,102.5,6
"TR",2016,126,6
"TR",2017,118,6
"TR",2018,131,6
"TR",2019,136,6
"TR",2020,144,6
"TR",2021,107.5,6
"TR",2022,104,6
"TR",2023,130,6
"TR",2024,97,6
