lakeid,Year,CVHT_standardized,n_months_sampled,mei,nino4,oni,sstcorr1,sstcorr2,zonalwind500,geoheight500,geoheight850,surfacezonalwind,surfacemomentumflux,air_temp,water_temp,phosphorus,nitrogen,chlorophyll,lake_level,ice_on_duration
AL,1981,0,2,-0.7,28.235,-0.37,28.405,22.307,17.011,5516.613,1431.361,0.762,-44.613,4.6,16.3,17.619047619047617,269.12380952380954,5.383780487804878,494.15039743589745,147.21951219512195
AL,1982,6,3,0.6,29.13,0.47,29.361,22.565,10.842,5546.578,1454.317,0.262,-20.681,3.49673913043478,16.55,17.619047619047617,269.12380952380954,11.175,494.15039743589745,149
AL,1983,3.5,3,2,28.875,1.29,28.69,22.019,8.651,5598.84,1468.736,0.168,-15.68,2.93913043478261,12.2,17.619047619047617,269.12380952380954,8.3,494.15039743589745,160
AL,1984,3.5,3,-0.7,27.94,-0.43,28.061,21.955,11.138,5588.837,1459.931,1.242,-89.082,2.90869565217391,12,17.619047619047617,269.12380952380954,8.925,494.45,150
AL,1985,7.5,3,-0.7,27.705,-0.78,28.115,22.382,14.206,5571.513,1447.445,0.985,-84.256,5.82173913043478,16.9,17.619047619047617,269.12380952380954,7.975,494.325,163
AL,1986,7,3,0,28.43,-0.2,28.617,21.873,11.855,5539.302,1459.278,0.531,-37.22,5.68532608695652,14.25,13,352,2.5,494.26,146
AL,1987,4,3,2.1,28.9,0.95,28.961,22.353,10.465,5584.29,1463.822,0.715,-51.746,6.33369565217391,14.45,21,264.5,2.62,494.044,149
AL,1988,9.333333333333332,3,-1.2,28.285,-0.31,28.296,22.592,6.779,5683.185,1492.782,0.326,-34.19,4.87771739130435,15.4,7,281.5,1.675,493.951,145
AL,1989,1.5,3,-1,27.87,-0.83,27.968,22.133,9.355,5605.424,1480.196,0.486,-28.207,2.32391304347826,12.833333333333334,19.333333333333332,378.6666666666667,4.9799999999999995,494.15,148
AL,1990,3.5,3,0.1,28.8,0.29,28.642,22.084,14.272,5575.913,1448.777,0.782,-57.722,4.06521739130435,14.05,10.5,240,1.625,494.089,148
AL,1991,3.5,3,1,29.175,0.26,29.12,23.067,9.306,5648.246,1496.318,-0.048,-11.739,5.47663043478261,12.9,16,276.5,-0.225,494.1225,138
AL,1992,8.666666666666666,3,1.5,29.16,1.29,29.084,21.634,8.79,5574.167,1459.562,0.115,-34.665,3.44510869565217,11.4,21.5,313.5,8.25,494.057,174
AL,1993,3.5,3,1.5,28.82,0.67,28.88,21.473,11.274,5579.474,1463.66,0.545,-40,3.05652173913043,9.45,14.666666666666666,244,5.72,494.18966666666665,168
AL,1994,0,3,0.3,28.94,0.31,28.882,21.998,12.75,5609.812,1472.075,0.92,-54.149,4.16086956521739,12.9,18,254.33333333333334,4.58,494.06449999999995,144
AL,1995,3,3,0,29.225,0.3,28.968,21.583,5.522,5668.799,1496.429,0.138,-10.793,1.63260869565217,11.333333333333334,13.666666666666666,254.66666666666666,7.3,494.082,151
AL,1996,2.5,3,-0.9,28.315,-0.39,28.353,21.21,10.573,5615.317,1474.513,0.149,-16.316,1.34347826086957,11.4,16.5,346.5,6.325,494.138,184
