lake_id,model,HSS,RPSS
AL,ENet+PCA,-0.091,0.211
AL,Lasso+PCA,-0.091,0.181
AL,PCR,-0.057,0.169
AL,RF (raw),0.011,0.226
AL,XGBoost,-0.159,0.035
BM,ENet+PCA,0.25,0.487
BM,Lasso+PCA,0.182,0.515
BM,PCR,0.25,0.501
BM,RF (raw),0.25,0.48
BM,XGBoost,0.148,0.43
CR,ENet+PCA,0.114,0.253
CR,Lasso+PCA,0.08,0.233
CR,PCR,0.045,0.196
CR,RF (raw),0.011,0.137
CR,XGBoost,-0.057,0.278
SP,ENet+PCA,0.148,0.4
SP,Lasso+PCA,0.148,0.4
SP,PCR,0.284,0.467
SP,RF (raw),0.011,0.249
SP,XGBoost,0.25,0.402
TR,ENet+PCA,0.011,0.359
TR,Lasso+PCA,0.114,0.385
TR,PCR,0.148,0.393
TR,RF (raw),0.148,0.43
TR,XGBoost,0.114,0.41
