lake_id,model,.metric,.estimate
AL,PCR,mae,2.729963671698264
AL,PCR,rmse,3.716789589250552
AL,PCR,rsq,0.1469176153350568
AL,Random Forest,mae,2.7509298971861473
AL,Random Forest,rmse,3.6134215430808463
AL,Random Forest,rsq,3.2391262559763455e-4
AL,XGBoost,mae,3.243031829595566
AL,XGBoost,rmse,4.051026892665874
AL,XGBoost,rsq,0.004108062339996613
BM,PCR,mae,3.773723696382849
BM,PCR,rmse,4.392822349616403
BM,PCR,rsq,0.33831359850166937
BM,Random Forest,mae,3.9152192550505074
BM,Random Forest,rmse,4.742782284567206
BM,Random Forest,rsq,0.22142335853967435
BM,XGBoost,mae,3.9523828390872837
BM,XGBoost,rmse,5.001944580153704
BM,XGBoost,rsq,0.20043348748123255
CR,PCR,mae,5.959277264021356
CR,PCR,rmse,6.974797150724459
CR,PCR,rsq,0.019307831841473888
CR,Random Forest,mae,5.685264732142855
CR,Random Forest,rmse,6.60557216032162
CR,Random Forest,rsq,0.08020434022176542
CR,XGBoost,mae,5.9825140057188095
CR,XGBoost,rmse,6.942529427862859
CR,XGBoost,rsq,0.06264390302654667
SP,PCR,mae,3.2021638081829336
SP,PCR,rmse,3.8207681524415484
SP,PCR,rsq,0.10956968286996747
SP,Random Forest,mae,3.3437265602453126
SP,Random Forest,rmse,4.009320502664507
SP,Random Forest,rsq,0.026620173026083136
SP,XGBoost,mae,3.1910272439320884
SP,XGBoost,rmse,3.909074507696339
SP,XGBoost,rsq,0.09897125734545922
TR,PCR,mae,5.711307830382771
TR,PCR,rmse,6.526648207044865
TR,PCR,rsq,0.3030347542384488
TR,Random Forest,mae,5.951557652417022
TR,Random Forest,rmse,7.156857764652226
TR,Random Forest,rsq,0.15937649046725189
TR,XGBoost,mae,6.109913941585657
TR,XGBoost,rmse,7.563328645831206
TR,XGBoost,rsq,0.1586173304149315
