lake_id,model,r_squared,rmse,mae
AL,PCR,-0.13572568017724307,3.716789589250552,2.7299636716982634
AL,Random Forest,-0.11336894640100081,3.6800253053781344,2.8996777782909913
AL,XGBoost,-0.5368068480225305,4.32355409012455,3.349447326339555
BM,PCR,0.33148726805811113,4.392822349616403,3.7737236963828495
BM,Random Forest,0.17077899836544108,4.892422392990331,4.050520887987109
BM,XGBoost,-0.2562620965555471,6.021836048311576,4.928999837036385
CR,PCR,-0.027691586078787633,6.974797150724459,5.959277264021356
CR,Random Forest,-0.013151744393770981,6.9252814666595395,5.931470491702776
CR,XGBoost,-0.13566376353346943,7.33204404767884,5.824317021803423
SP,PCR,0.08061260924148661,3.820768152441548,3.2021638081829327
SP,Random Forest,0.0029990537305922826,3.978773335582198,3.3726455453473365
SP,XGBoost,-0.3248319415525589,4.586504339059719,3.7344383904428198
TR,PCR,0.29936509035821834,6.526648207044866,5.711307830382773
TR,Random Forest,0.20230943361409193,6.9640446375469,5.846507838538244
TR,XGBoost,-0.1476096801651674,8.352979577431153,6.67500992977258
