lake_id,year,observed_cvht,predicted_cvht,prob_below_normal,prob_near_normal,prob_above_normal,predicted_category,observed_category,predicted_year_type,observed_year_type
AL,1981,0.0,4.815155194524067,0.21,0.19,0.6,Above Normal,Below Normal,Good year,Bad year
AL,1982,6.0,2.772974635400718,0.49,0.17,0.34,Below Normal,Above Normal,Bad year,Good year
AL,1983,3.5,4.690297231819227,0.27,0.13,0.6,Above Normal,Near Normal,Good year,Normal year
AL,1984,3.5,6.392640904052087,0.14,0.07,0.79,Above Normal,Near Normal,Good year,Normal year
AL,1985,7.5,5.8528197890526314,0.17,0.11,0.72,Above Normal,Above Normal,Good year,Good year
AL,1986,7.0,2.596570669843953,0.49,0.16,0.35,Below Normal,Above Normal,Bad year,Good year
AL,1987,4.0,3.151288954903315,0.47,0.09,0.44,Below Normal,Above Normal,Bad year,Good year
AL,1988,9.333333333333332,3.174038202991631,0.31,0.22,0.47,Above Normal,Above Normal,Good year,Good year
AL,1989,1.5,3.2980627689757567,0.46,0.18,0.36,Below Normal,Below Normal,Bad year,Bad year
AL,1990,3.5,1.5622952862959956,0.5,0.22,0.28,Below Normal,Near Normal,Bad year,Normal year
AL,1991,3.5,4.62847242567708,0.2,0.16,0.64,Above Normal,Near Normal,Good year,Normal year
AL,1992,8.666666666666666,4.927868503228796,0.27,0.08,0.65,Above Normal,Above Normal,Good year,Good year
AL,1993,3.5,6.104260142589803,0.16,0.12,0.72,Above Normal,Near Normal,Good year,Normal year
AL,1994,0.0,2.3862493395312017,0.46,0.11,0.43,Below Normal,Below Normal,Bad year,Bad year
AL,1995,3.0,3.9128922428334194,0.29,0.18,0.53,Above Normal,Near Normal,Good year,Normal year
AL,1996,2.5,6.664706100997765,0.19,0.09,0.72,Above Normal,Near Normal,Good year,Normal year
AL,1997,3.8333333333333335,5.716382594427037,0.19,0.08,0.73,Above Normal,Above Normal,Good year,Good year
AL,1998,0.0,3.6019073808363022,0.46,0.12,0.42,Below Normal,Below Normal,Bad year,Bad year
AL,1999,3.5,3.58096114995399,0.38,0.12,0.5,Above Normal,Near Normal,Good year,Normal year
AL,2000,2.0,3.815471646001059,0.42,0.14,0.44,Above Normal,Below Normal,Good year,Bad year
AL,2001,0.5,2.9966600264296366,0.38,0.19,0.43,Above Normal,Below Normal,Good year,Bad year
AL,2002,3.5,3.3424024092212323,0.36,0.16,0.48,Above Normal,Near Normal,Good year,Normal year
AL,2003,3.6666666666666665,3.194963735178841,0.38,0.14,0.48,Above Normal,Above Normal,Good year,Good year
AL,2004,2.333333333333333,1.879282854328907,0.51,0.12,0.37,Below Normal,Near Normal,Bad year,Normal year
AL,2005,6.0,3.576513689491049,0.44,0.13,0.43,Below Normal,Above Normal,Bad year,Good year
AL,2006,3.5,4.422620032790378,0.18,0.11,0.71,Above Normal,Near Normal,Good year,Normal year
AL,2007,10.5,1.7472729789870522,0.62,0.13,0.25,Below Normal,Above Normal,Bad year,Good year
AL,2008,15.0,4.881285417423897,0.19,0.17,0.64,Above Normal,Above Normal,Good year,Good year
AL,2009,12.666666666666666,3.4817426837868015,0.4,0.11,0.49,Above Normal,Above Normal,Good year,Good year
AL,2010,7.0,4.20191599254957,0.3,0.1,0.6,Above Normal,Above Normal,Good year,Good year
AL,2011,3.5,4.073779351031091,0.29,0.16,0.55,Above Normal,Near Normal,Good year,Normal year
AL,2012,3.5,2.6729950292989537,0.43,0.16,0.41,Below Normal,Near Normal,Bad year,Normal year
AL,2013,0.0,4.3423746071156435,0.27,0.17,0.56,Above Normal,Below Normal,Good year,Bad year
AL,2014,3.5,6.027499296409836,0.15,0.11,0.74,Above Normal,Near Normal,Good year,Normal year
AL,2015,0.0,3.1972837952357427,0.32,0.18,0.5,Above Normal,Below Normal,Good year,Bad year
AL,2016,0.0,3.148206375111626,0.34,0.15,0.51,Above Normal,Below Normal,Good year,Bad year
AL,2017,0.5,4.874720356040012,0.24,0.12,0.64,Above Normal,Below Normal,Good year,Bad year
AL,2018,0.0,5.05319378681079,0.19,0.16,0.65,Above Normal,Below Normal,Good year,Bad year
AL,2019,3.5,5.73410830960644,0.24,0.09,0.67,Above Normal,Near Normal,Good year,Normal year
AL,2020,6.0,2.9853534441206664,0.52,0.08,0.4,Below Normal,Above Normal,Bad year,Good year
AL,2021,0.0,3.84064063718598,0.29,0.2,0.51,Above Normal,Below Normal,Good year,Bad year
AL,2022,0.0,2.9602561231600832,0.42,0.11,0.47,Above Normal,Below Normal,Good year,Bad year
AL,2023,2.0,1.9221663455462477,0.5,0.13,0.37,Below Normal,Below Normal,Bad year,Bad year
AL,2024,0.0,2.3974377139744765,0.52,0.19,0.29,Below Normal,Below Normal,Bad year,Bad year
BM,1981,6.0,4.403722353727806,0.89,0.1,0.01,Below Normal,Below Normal,Bad year,Bad year
BM,1982,13.0,11.587635441270155,0.25,0.5,0.25,Near Normal,Near Normal,Normal year,Normal year
BM,1983,21.5,15.238954218227237,0.06,0.32,0.62,Above Normal,Above Normal,Good year,Good year
BM,1984,9.5,6.660970290269068,0.54,0.4,0.06,Below Normal,Near Normal,Bad year,Normal year
