lake_id,year,observed_cvht,pred_pcr,split
AL,1981,0,4.414421569302043,LOOCV
AL,1982,6,3.394299017479127,LOOCV
AL,1983,3.5,3.5820055797021824,LOOCV
AL,1984,3.5,4.520986483780042,LOOCV
AL,1985,7.5,3.783434145201592,LOOCV
AL,1986,7,3.8186001912758183,LOOCV
AL,1987,4,2.9866731643080144,LOOCV
AL,1988,9.333333333333332,2.720932228563165,LOOCV
AL,1989,1.5,4.842478346614304,LOOCV
AL,1990,3.5,3.4977158091023104,LOOCV
AL,1991,3.5,3.142182011095251,LOOCV
AL,1992,8.666666666666666,3.0014860111584354,LOOCV
AL,1993,3.5,3.770527128157496,LOOCV
AL,1994,0,3.575724043357076,LOOCV
AL,1995,3,3.795168600128375,LOOCV
AL,1996,2.5,4.768841282805525,LOOCV
AL,1997,3.8333333333333335,3.594255538365084,LOOCV
AL,1998,0,3.4618698833721844,LOOCV
AL,1999,3.5,3.9712870168493715,LOOCV
AL,2000,2,4.163049618937715,LOOCV
AL,2001,0.5,4.079788581949317,LOOCV
AL,2002,3.5,3.570233722519133,LOOCV
AL,2003,3.6666666666666665,3.838110343679588,LOOCV
AL,2004,2.333333333333333,3.7453249214633435,LOOCV
AL,2005,6,3.185632833470453,LOOCV
AL,2006,3.5,3.5784294975915385,LOOCV
AL,2007,10.5,3.5355115565047175,LOOCV
AL,2008,15,3.020494429532738,LOOCV
AL,2009,12.666666666666666,3.5902593785847507,LOOCV
AL,2010,7,5.196407525374887,LOOCV
AL,2011,3.5,4.113381521579683,LOOCV
AL,2012,3.5,3.4769281303625434,LOOCV
AL,2013,0,4.478638462416208,LOOCV
AL,2014,3.5,4.2778895852704775,LOOCV
AL,2015,0,3.4085212062636274,LOOCV
AL,2016,0,3.4883537154971296,LOOCV
AL,2017,0.5,3.911306927230629,LOOCV
AL,2018,0,3.8864543742832227,LOOCV
AL,2019,3.5,3.7206981615693824,LOOCV
AL,2020,6,3.5658031613948684,LOOCV
AL,2021,0,3.9679153502065403,LOOCV
AL,2022,0,4.661557678069861,LOOCV
AL,2023,2,3.744523071442613,LOOCV
AL,2024,0,3.7915300124587517,LOOCV
BM,1981,6,4.4037223537278125,LOOCV
BM,1982,13,11.587635441270159,LOOCV
BM,1983,21.5,15.238954218227239,LOOCV
BM,1984,9.5,6.66097029026907,LOOCV
BM,1985,1,5.055973005521155,LOOCV
BM,1986,14.5,9.037963440659212,LOOCV
BM,1987,10,11.938960854537408,LOOCV
BM,1988,20.166666666666664,12.988320309315776,LOOCV
BM,1989,16,10.81329017589575,LOOCV
BM,1990,10.5,8.472817253921482,LOOCV
BM,1991,19.5,16.19464127032947,LOOCV
BM,1992,22.666666666666668,14.458788964628587,LOOCV
BM,1993,14,12.890260731700824,LOOCV
BM,1994,8,11.584524558201796,LOOCV
BM,1995,16.5,19.620539172641166,LOOCV
BM,1996,11.5,14.69876371822206,LOOCV
BM,1997,16,14.86286974102644,LOOCV
BM,1998,8.5,10.396705866003467,LOOCV
BM,1999,13.5,7.766101268851241,LOOCV
BM,2000,5.5,1.949797984251223,LOOCV
BM,2001,7,11.194973629366975,LOOCV
BM,2002,11.5,12.964287438990928,LOOCV
BM,2003,12.5,14.499288185191876,LOOCV
BM,2004,6,10.16101864428586,LOOCV
BM,2005,10,14.295362512141786,LOOCV
BM,2006,7,13.586542741343186,LOOCV
BM,2007,9.5,12.020955313538552,LOOCV
BM,2008,6.333333333333333,6.637746245354528,LOOCV
BM,2009,4,9.259421364333493,LOOCV
BM,2010,17.333333333333332,10.475506219893937,LOOCV
BM,2011,5.666666666666666,14.691201836391976,LOOCV
BM,2012,2.5,7.456376439110444,LOOCV
BM,2013,15.833333333333332,15.84122182694239,LOOCV
BM,2014,18.5,15.121856887977541,LOOCV
BM,2015,8,14.0546006666692,LOOCV
BM,2016,10.5,8.560592672059325,LOOCV
BM,2017,12,8.903018266900395,LOOCV
BM,2018,19.5,13.1382549503871,LOOCV
BM,2019,13.5,15.681560301819424,LOOCV
BM,2020,16,13.84275090812144,LOOCV
BM,2021,8,9.459849595473461,LOOCV
BM,2022,6,7.159997634930975,LOOCV
BM,2023,17.5,11.502217385586928,LOOCV
BM,2024,4,11.820968491500878,LOOCV
CR,1981,21,23.910200074928337,LOOCV
CR,1982,36.5,26.017080580407974,LOOCV
CR,1983,35,27.607840637066193,LOOCV
CR,1984,33,25.712225391369714,LOOCV
CR,1985,25.5,25.22888346681504,LOOCV
CR,1986,34.833333333333336,26.10592591997027,LOOCV
CR,1987,22.833333333333336,26.096489187078816,LOOCV
CR,1988,38.166666666666664,32.52274361234652,LOOCV
CR,1989,36,30.692548570076653,LOOCV
CR,1990,28.5,24.93186615413477,LOOCV
CR,1991,33.166666666666664,29.84159308995545,LOOCV
CR,1992,32.166666666666664,26.667671082865233,LOOCV
CR,1993,34.5,27.298466777554538,LOOCV
CR,1994,25,26.121384218585057,LOOCV
CR,1995,35.5,32.3914841939129,LOOCV
CR,1996,37,30.898665059407616,LOOCV
CR,1997,34.666666666666664,25.529985222424564,LOOCV
CR,1998,22.666666666666664,26.571187065394685,LOOCV
CR,1999,32,29.423612663608463,LOOCV
CR,2000,33.5,22.871924012884094,LOOCV
CR,2001,28.5,29.441503196512645,LOOCV
CR,2002,34.166666666666664,28.505687834120334,LOOCV
CR,2003,23,30.898536722808192,LOOCV
CR,2004,31,26.37131808824387,LOOCV
CR,2005,23.5,28.89966609453735,LOOCV
CR,2006,23,30.739485476058974,LOOCV
CR,2007,27.166666666666664,28.880190613496755,LOOCV
CR,2008,25.166666666666664,28.439656624391183,LOOCV
CR,2009,24.666666666666668,26.567885338853856,LOOCV
CR,2010,22.25,28.426165018703813,LOOCV
CR,2011,33,32.22744142377202,LOOCV
CR,2012,37,23.41412468415921,LOOCV
CR,2013,44,31.66285889401805,LOOCV
CR,2014,27.666666666666664,30.38901560775621,LOOCV
CR,2015,17.666666666666664,26.546077084191662,LOOCV
CR,2016,24.666666666666664,25.470564752435198,LOOCV
CR,2017,20.5,25.52338633323923,LOOCV
CR,2018,21.5,30.559369249766277,LOOCV
CR,2019,26,28.415542684273014,LOOCV
CR,2020,22,30.579510695725492,LOOCV
CR,2021,14,28.00603932999568,LOOCV
CR,2022,17.333333333333332,28.711756734699055,LOOCV
CR,2023,18.5,28.171709968416558,LOOCV
CR,2024,18,28.183491570871773,LOOCV
SP,1981,15,18.373369781027144,LOOCV
SP,1982,25,20.573862206413644,LOOCV
SP,1983,25,22.75237293944159,LOOCV
SP,1984,22,19.305115995795276,LOOCV
SP,1985,23.5,16.335206030259048,LOOCV
SP,1986,17.5,19.721741000326002,LOOCV
SP,1987,22,19.06861622204886,LOOCV
SP,1988,27.666666666666668,19.739790660009977,LOOCV
SP,1989,24.5,19.993054847843013,LOOCV
SP,1990,22,18.216547947656643,LOOCV
SP,1991,21.333333333333332,21.63483533838512,LOOCV
SP,1992,23.5,22.766636992345248,LOOCV
SP,1993,20.5,21.799659337843618,LOOCV
SP,1994,15.5,22.94325866226564,LOOCV
SP,1995,23.5,23.838780482300905,LOOCV
SP,1996,27.333333333333336,22.57292042020395,LOOCV
SP,1997,26,23.228685903890273,LOOCV
SP,1998,15,18.468169586991028,LOOCV
SP,1999,23,18.652774259096336,LOOCV
SP,2000,17,15.12332995687789,LOOCV
SP,2001,20,19.284978263347206,LOOCV
